time_stamp	hand_count	l_hand_p(x,y,z)	r_hand_p(x,y,z)
2023-10-14 01:47:18.183	2	(-98.506653,123.878357,-16.596954)	(40.991211,140.562881,51.284195)
2023-10-14 01:47:18.194	2	(-100.411942,126.267937,-15.588001)	(39.940643,141.131104,51.965378)
2023-10-14 01:47:18.205	2	(-101.939781,128.241699,-14.809959)	(39.011513,141.309204,52.760674)
2023-10-14 01:47:18.216	2	(-103.580765,130.555420,-13.797612)	(38.338951,140.967987,52.758106)
2023-10-14 01:47:18.228	2	(-105.550789,133.355209,-12.591226)	(38.603119,141.061890,52.544678)
2023-10-14 01:47:18.239	2	(-107.229202,135.799683,-11.132287)	(38.944225,140.918289,52.193615)
2023-10-14 01:47:18.250	2	(-108.638329,138.377686,-9.387069)	(39.107857,140.436844,51.221798)
2023-10-14 01:47:18.261	2	(-110.665749,140.897659,-7.516698)	(39.126900,140.392242,50.307514)
2023-10-14 01:47:18.272	2	(-112.454048,143.458069,-5.473618)	(38.783257,139.236023,49.248173)
2023-10-14 01:47:18.283	2	(-114.508133,146.074677,-3.932946)	(37.714668,136.542267,48.288227)
2023-10-14 01:47:18.295	2	(-116.789391,149.084137,-2.463347)	(37.023769,134.431458,46.949539)
2023-10-14 01:47:18.306	2	(-118.735954,152.729324,-1.286764)	(36.073402,132.251724,45.234760)
2023-10-14 01:47:18.317	2	(-120.028351,156.105179,0.710420)	(35.469570,129.698059,43.071774)
2023-10-14 01:47:18.328	2	(-121.584557,158.716232,2.879179)	(34.659580,127.075142,40.603626)
2023-10-14 01:47:18.339	2	(-122.569084,161.065659,5.373044)	(33.439568,124.165916,38.801876)
2023-10-14 01:47:18.350	2	(-123.234352,163.355881,7.110196)	(32.398190,121.760399,37.089100)
2023-10-14 01:47:18.361	2	(-123.234169,165.280991,7.894135)	(31.524656,118.993210,35.658199)
2023-10-14 01:47:18.373	2	(-123.194237,167.579086,10.283010)	(31.215366,116.086403,33.882626)
2023-10-14 01:47:18.384	2	(-123.188087,170.610535,12.417988)	(30.486538,113.378815,32.536236)
2023-10-14 01:47:18.395	2	(-123.659187,173.714661,15.241290)	(28.564899,110.582703,31.583981)
2023-10-14 01:47:18.406	1	(-124.168411,177.738724,18.133810)	(x,x,x)
2023-10-14 01:47:18.417	1	(-124.996849,182.132721,21.499872)	(x,x,x)
2023-10-14 01:47:18.428	1	(-125.624084,184.986938,25.042574)	(x,x,x)
2023-10-14 01:47:18.439	1	(-127.331573,188.124512,29.112980)	(x,x,x)
2023-10-14 01:47:18.450	1	(-130.848480,192.243286,34.032375)	(x,x,x)
2023-10-14 01:47:18.462	1	(-135.566833,197.569168,39.659168)	(x,x,x)
2023-10-14 01:47:18.741	1	(-207.168564,226.891083,143.316818)	(x,x,x)
2023-10-14 01:47:18.752	1	(-212.706284,228.726730,146.600830)	(x,x,x)
2023-10-14 01:47:18.763	1	(-218.249374,228.374557,149.016968)	(x,x,x)
2023-10-14 01:47:18.774	1	(-223.112442,227.703903,151.169662)	(x,x,x)
2023-10-14 01:47:18.785	1	(-227.729782,226.112381,152.610962)	(x,x,x)
2023-10-14 01:47:18.796	1	(-232.075134,224.133423,154.009949)	(x,x,x)
2023-10-14 01:47:18.808	2	(-236.410202,221.740067,155.677521)	(81.153450,101.685524,-35.471546)
